"file" "checksum" "built" "date"
"CODE_OF_CONDUCT.md" "c93c83c630db2fe2462240bf72552548" "site/built/CODE_OF_CONDUCT.md" "2022-08-05"
"LICENSE.md" "b24ebbb41b14ca25cf6b8216dda83e5f" "site/built/LICENSE.md" "2023-04-07"
"config.yaml" "4001ba263bbaa00119022aa9c5b16ca9" "site/built/config.yaml" "2025-04-21"
"index.md" "1b053c1ace92f1edfbdfbb356b86f1ed" "site/built/index.md" "2024-10-28"
"links.md" "8184cf4149eafbf03ce8da8ff0778c14" "site/built/links.md" "2022-04-22"
"episodes/census.md" "3339237d77e6666fdf3aacf33b65bb02" "site/built/census.md" "2025-05-14"
"episodes/geocoding.md" "280a5ba6874fc88c34652927bcb901df" "site/built/geocoding.md" "2025-04-21"
"episodes/food-deserts.md" "d296065d05ea0d9e26811338bc1eee17" "site/built/food-deserts.md" "2025-04-21"
"episodes/imagery.md" "ffa1417969ef24bf4bb9336808ce3f69" "site/built/imagery.md" "2024-10-28"
"episodes/field.md" "4b895c293180db74e4213c48c1e2fafa" "site/built/field.md" "2024-10-28"
"instructors/instructor-notes.md" "cae72b6712578d74a49fea7513099f8c" "site/built/instructor-notes.md" "2023-03-16"
"learners/reference.md" "1c7cc4e229304d9806a13f69ca1b8ba4" "site/built/reference.md" "2023-03-16"
"learners/setup.md" "f2336a559e8402bfd3cd245374dacd29" "site/built/setup.md" "2024-10-28"
"profiles/learner-profiles.md" "60b93493cf1da06dfd63255d73854461" "site/built/learner-profiles.md" "2022-04-22"
